station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
522,E 51 St & Lexington Ave,6659.01,40.75714758,-73.97207836,71,"CREDITCARD,KEY",51,false,0,1,50,0,true,true,true,false,2021-11-09T00:00:00
500,Broadway & W 51 St,6779.04,40.76228826,-73.98336183,71,"CREDITCARD,KEY",52,false,0,4,48,0,true,true,true,false,2021-11-09T00:00:00
4683,Broadway & W 61 St,7014.12,40.770030102550443,-73.9819684624672,,"CREDITCARD,KEY",52,false,0,2,50,0,true,true,true,false,2021-11-09T00:00:00
3809,W 55 St & 6 Ave,6809.09,40.763189,-73.978434,71,"CREDITCARD,KEY",53,false,0,3,50,0,true,true,true,false,2021-11-09T00:00:00
153,E 40 St & 5 Ave,6474.11,40.752062307,-73.9816324043,71,"CREDITCARD,KEY",63,false,0,2,61,0,true,true,true,false,2021-11-09T00:00:00
281,Grand Army Plaza & Central Park S,6839.10,40.7643971,-73.97371465,71,"CREDITCARD,KEY",66,false,0,0,66,0,true,true,true,false,2021-11-09T00:00:00
4675,E 40 St & Park Ave,6432.11,40.750756,-73.978326,71,"CREDITCARD,KEY",76,false,0,4,72,0,true,true,true,false,2021-11-09T00:00:00
468,Broadway & W 56 St,6847.02,40.7652654,-73.98192338,71,"CREDITCARD,KEY",79,false,0,6,73,0,true,true,true,false,2021-11-09T00:00:00
3233,E 48 St & 5 Ave,6626.01,40.757245679117261,-73.978059142827988,71,"CREDITCARD,KEY",5,false,1,0,4,0,true,true,true,false,2021-11-09T00:00:00
2005,Railroad Ave & Kay Ave,4990.01,40.70531194,-73.97100056,71,"CREDITCARD,KEY",12,false,1,2,9,0,true,true,true,false,2021-11-09T00:00:00
3281,Leonard Gordon Park,JC080,40.74590996631558,-74.0572714805603,70,"CREDITCARD,KEY",14,false,1,2,11,0,true,true,true,false,2021-11-09T00:00:00
4656,Clinton St & Newark St,HB409,40.73743,-74.03571,,"CREDITCARD,KEY",14,false,1,0,13,0,true,true,true,false,2021-11-09T00:00:00
3849,Suydam St & St. Nicholas Ave,5043.06,40.70636,-73.91945,71,"CREDITCARD,KEY",17,false,1,0,16,0,true,true,true,false,2021-11-09T00:00:00
3202,Newport PATH,JC066,40.7272235,-74.0337589,70,"CREDITCARD,KEY",18,false,1,2,15,0,true,true,true,false,2021-11-09T00:00:00
3220,5 Corners Library,JC018,40.734961020009514,-74.0595030784607,70,"CREDITCARD,KEY",18,false,1,1,16,0,true,true,true,false,2021-11-09T00:00:00
4673,Marshall St & 2 St,HB408,40.740802,-74.042521,311,"CREDITCARD,KEY",18,false,1,0,17,0,true,true,true,false,2021-11-08T00:00:00
3868,Knickerbocker Ave & Halsey St,4623.02,40.693,-73.90824,71,"CREDITCARD,KEY",19,false,1,1,17,0,true,true,true,false,2021-11-08T00:00:00
4053,W 163 St & Edgecombe Ave,8153.10,40.835798,-73.937496,71,"CREDITCARD,KEY",19,false,1,1,17,0,true,true,true,false,2021-11-08T00:00:00
4154,Faile St & Garrison Ave,7922.01,40.820578,-73.888271,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-11-08T00:00:00
4156,Fulton Ave & St. Paul's Pl,8152.03,40.83545,-73.90153,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-11-09T00:00:00
4157,Boston Rd & Prospect Ave,8133.08,40.833246,-73.896599,71,"CREDITCARD,KEY",19,false,1,1,17,0,true,true,true,false,2021-11-08T00:00:00
4158,Freeman St & Reverend James A Polite Ave,8080.01,40.830529,-73.894717,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-11-08T00:00:00
4183,Fulton Ave & E 172 St,8186.01,40.839229,-73.899047,71,"CREDITCARD,KEY",19,false,1,2,16,0,true,true,true,false,2021-11-09T00:00:00
4230,Charlotte St & Boston Rd,8167.04,40.8358771,-73.8931428,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-11-08T00:00:00
4394,6 Ave & 55 St,3000.08,40.640831,-74.010996,71,"CREDITCARD,KEY",19,false,1,1,17,0,true,true,true,false,2021-11-08T00:00:00
